"Epoch","jumping-pine-25 - _step","jumping-pine-25 - _step__MIN","jumping-pine-25 - _step__MAX","jumping-pine-25 - Train accuracy","jumping-pine-25 - Train accuracy__MIN","jumping-pine-25 - Train accuracy__MAX"
"73","40740","40740","40740","0.8597721822541966","0.8597721822541966","0.8597721822541966"
"74","41298","41298","41298","0.8593844924060752","0.8593844924060752","0.8593844924060752"
"76","42414","42414","42414","0.8629496402877697","0.8629496402877697","0.8629496402877697"
"77","42972","42972","42972","0.8649000799360512","0.8649000799360512","0.8649000799360512"
"78","43530","43530","43530","0.8647082334132694","0.8647082334132694","0.8647082334132694"
"79","44088","44088","44088","0.8643884892086331","0.8643884892086331","0.8643884892086331"
"80","44646","44646","44646","0.8678177458033574","0.8678177458033574","0.8678177458033574"
"83","46321","46321","46321","0.8722781774580336","0.8722781774580336","0.8722781774580336"
"84","46879","46879","46879","0.8709152677857713","0.8709152677857713","0.8709152677857713"
"85","47437","47437","47437","0.8711310951239009","0.8711310951239009","0.8711310951239009"
"86","47995","47995","47995","0.8731854516386891","0.8731854516386891","0.8731854516386891"
"88","49111","49111","49111","0.8743325339728217","0.8743325339728217","0.8743325339728217"
"90","50227","50227","50227","0.8782533972821742","0.8782533972821742","0.8782533972821742"
"91","50785","50785","50785","0.8818505195843326","0.8818505195843326","0.8818505195843326"
"93","51902","51902","51902","0.8810111910471624","0.8810111910471624","0.8810111910471624"
"94","52460","52460","52460","0.8809512390087931","0.8809512390087931","0.8809512390087931"
"95","53018","53018","53018","0.881119104716227","0.881119104716227","0.881119104716227"
"96","53576","53576","53576","0.8828137490007995","0.8828137490007995","0.8828137490007995"
"99","55250","55250","55250","0.8856195043964828","0.8856195043964828","0.8856195043964828"
"101","56366","56366","56366","0.88931654676259","0.88931654676259","0.88931654676259"
"104","58041","58041","58041","0.8900519584332535","0.8900519584332535","0.8900519584332535"
"105","58599","58599","58599","0.8935531574740209","0.8935531574740209","0.8935531574740209"
"106","59157","59157","59157","0.892765787370104","0.892765787370104","0.892765787370104"
"108","60273","60273","60273","0.8947322142286172","0.8947322142286172","0.8947322142286172"
"109","60831","60831","60831","0.897242206235012","0.897242206235012","0.897242206235012"
"110","61389","61389","61389","0.8963389288569146","0.8963389288569146","0.8963389288569146"
"112","62506","62506","62506","0.8987410071942447","0.8987410071942447","0.8987410071942447"
"114","63622","63622","63622","0.9005715427657873","0.9005715427657873","0.9005715427657873"
"115","64180","64180","64180","0.9010791366906474","0.9010791366906474","0.9010791366906474"
"116","64738","64738","64738","0.9033293365307754","0.9033293365307754","0.9033293365307754"
"118","65854","65854","65854","0.9044484412470025","0.9044484412470025","0.9044484412470025"
"119","66412","66412","66412","0.9062270183852918","0.9062270183852918","0.9062270183852918"
"120","66970","66970","66970","0.9084972022382096","0.9084972022382096","0.9084972022382096"
"121","67528","67528","67528","0.9068145483613111","0.9068145483613111","0.9068145483613111"
"122","68087","68087","68087","0.9052318145483614","0.9052318145483614","0.9052318145483614"
"123","68645","68645","68645","0.9066546762589929","0.9066546762589929","0.9066546762589929"
"124","69203","69203","69203","0.909836131095124","0.909836131095124","0.909836131095124"
"127","70877","70877","70877","0.9124340527577939","0.9124340527577939","0.9124340527577939"
