"Epoch","fiery-cherry-32 - _step","fiery-cherry-32 - _step__MIN","fiery-cherry-32 - _step__MAX","fiery-cherry-32 - Train accuracy","fiery-cherry-32 - Train accuracy__MIN","fiery-cherry-32 - Train accuracy__MAX"
"179","89874","89874","89874","0.9786200000000002","0.9786200000000002","0.9786200000000002"
"181","90878","90878","90878","0.97972","0.97972","0.97972"
"187","93891","93891","93891","0.9815600000000001","0.9815600000000001","0.9815600000000001"
"189","94895","94895","94895","0.9832000000000001","0.9832000000000001","0.9832000000000001"
"190","95397","95397","95397","0.98322","0.98322","0.98322"
"191","95899","95899","95899","0.9829600000000001","0.9829600000000001","0.9829600000000001"
"193","96904","96904","96904","0.9845800000000001","0.9845800000000001","0.9845800000000001"
"195","97908","97908","97908","0.98542","0.98542","0.98542"
"196","98410","98410","98410","0.9862799999999999","0.9862799999999999","0.9862799999999999"
"197","98912","98912","98912","0.9851400000000001","0.9851400000000001","0.9851400000000001"
"198","99414","99414","99414","0.98692","0.98692","0.98692"
"199","99916","99916","99916","0.98694","0.98694","0.98694"
"200","100418","100418","100418","0.9876600000000001","0.9876600000000001","0.9876600000000001"
"201","100920","100920","100920","0.98694","0.98694","0.98694"
"203","101925","101925","101925","0.9876","0.9876","0.9876"
"205","102929","102929","102929","0.98872","0.98872","0.98872"
"206","103431","103431","103431","0.9897000000000001","0.9897000000000001","0.9897000000000001"
"208","104435","104435","104435","0.9901800000000001","0.9901800000000001","0.9901800000000001"
"209","104937","104937","104937","0.98978","0.98978","0.98978"
"210","105439","105439","105439","0.9919600000000001","0.9919600000000001","0.9919600000000001"
"211","105941","105941","105941","0.9928","0.9928","0.9928"
"212","106444","106444","106444","0.99308","0.99308","0.99308"
"213","106946","106946","106946","0.99186","0.99186","0.99186"
"215","107950","107950","107950","0.99172","0.99172","0.99172"
"216","108452","108452","108452","0.99302","0.99302","0.99302"
"217","108954","108954","108954","0.9945600000000001","0.9945600000000001","0.9945600000000001"
"219","109958","109958","109958","0.9946400000000001","0.9946400000000001","0.9946400000000001"
"220","110460","110460","110460","0.9943200000000001","0.9943200000000001","0.9943200000000001"
"222","111465","111465","111465","0.99562","0.99562","0.99562"
"223","111967","111967","111967","0.9962000000000001","0.9962000000000001","0.9962000000000001"
"224","112469","112469","112469","0.9953200000000001","0.9953200000000001","0.9953200000000001"
"225","112971","112971","112971","0.9968600000000001","0.9968600000000001","0.9968600000000001"
"226","113473","113473","113473","0.99664","0.99664","0.99664"
"227","113975","113975","113975","0.99682","0.99682","0.99682"
"229","114979","114979","114979","0.9966600000000001","0.9966600000000001","0.9966600000000001"
"230","115481","115481","115481","0.99774","0.99774","0.99774"
"231","115983","115983","115983","0.99774","0.99774","0.99774"
"233","116988","116988","116988","0.998","0.998","0.998"
"237","118996","118996","118996","0.99876","0.99876","0.99876"
"238","119498","119498","119498","0.9991599999999999","0.9991599999999999","0.9991599999999999"
"239","120000","120000","120000","0.9990399999999999","0.9990399999999999","0.9990399999999999"
"240","120502","120502","120502","0.9991","0.9991","0.9991"
"241","121004","121004","121004","0.9991400000000001","0.9991400000000001","0.9991400000000001"
