"Epoch","vital-frost-17 - _step","vital-frost-17 - _step__MIN","vital-frost-17 - _step__MAX","vital-frost-17 - Train accuracy","vital-frost-17 - Train accuracy__MIN","vital-frost-17 - Train accuracy__MAX"
"42","23439","23439","23439","0.7265067945643485","0.7265067945643485","0.7265067945643485"
"46","25671","25671","25671","0.7402917665867306","0.7402917665867306","0.7402917665867306"
"47","26229","26229","26229","0.7462270183852917","0.7462270183852917","0.7462270183852917"
"48","26787","26787","26787","0.7487769784172663","0.7487769784172663","0.7487769784172663"
"49","27345","27345","27345","0.7527298161470823","0.7527298161470823","0.7527298161470823"
"54","30136","30136","30136","0.767414068745004","0.767414068745004","0.767414068745004"
"55","30694","30694","30694","0.7686890487609911","0.7686890487609911","0.7686890487609911"
"58","32368","32368","32368","0.7754516386890488","0.7754516386890488","0.7754516386890488"
"59","32926","32926","32926","0.7791207034372503","0.7791207034372503","0.7791207034372503"
"61","34042","34042","34042","0.7831175059952038","0.7831175059952038","0.7831175059952038"
"62","34601","34601","34601","0.7845963229416467","0.7845963229416467","0.7845963229416467"
"64","35717","35717","35717","0.7879616306954437","0.7879616306954437","0.7879616306954437"
"70","39065","39065","39065","0.7976458832933653","0.7976458832933653","0.7976458832933653"
"72","40182","40182","40182","0.8030975219824141","0.8030975219824141","0.8030975219824141"
"73","40740","40740","40740","0.8034252597921663","0.8034252597921663","0.8034252597921663"
"75","41856","41856","41856","0.8059552358113509","0.8059552358113509","0.8059552358113509"
"77","42972","42972","42972","0.8109792166266986","0.8109792166266986","0.8109792166266986"
"78","43530","43530","43530","0.8113429256594723","0.8113429256594723","0.8113429256594723"
"80","44646","44646","44646","0.8147601918465228","0.8147601918465228","0.8147601918465228"
"81","45204","45204","45204","0.8155435651478816","0.8155435651478816","0.8155435651478816"
"82","45763","45763","45763","0.8168824940047961","0.8168824940047961","0.8168824940047961"
"83","46321","46321","46321","0.8187929656274978","0.8187929656274978","0.8187929656274978"
"87","48553","48553","48553","0.8224380495603516","0.8224380495603516","0.8224380495603516"
"88","49111","49111","49111","0.8252997601918465","0.8252997601918465","0.8252997601918465"
"91","50785","50785","50785","0.8287130295763389","0.8287130295763389","0.8287130295763389"
"95","53018","53018","53018","0.832150279776179","0.832150279776179","0.832150279776179"
"96","53576","53576","53576","0.8338369304556354","0.8338369304556354","0.8338369304556354"
"98","54692","54692","54692","0.835771382893685","0.835771382893685","0.835771382893685"
"99","55250","55250","55250","0.839216626698641","0.839216626698641","0.839216626698641"
"101","56366","56366","56366","0.8410631494804156","0.8410631494804156","0.8410631494804156"
"104","58041","58041","58041","0.8431574740207833","0.8431574740207833","0.8431574740207833"
"105","58599","58599","58599","0.8433852917665866","0.8433852917665866","0.8433852917665866"
"106","59157","59157","59157","0.8476538768984812","0.8476538768984812","0.8476538768984812"
"107","59715","59715","59715","0.8463589128697042","0.8463589128697042","0.8463589128697042"
"108","60273","60273","60273","0.8481334932054356","0.8481334932054356","0.8481334932054356"
"109","60831","60831","60831","0.8487250199840127","0.8487250199840127","0.8487250199840127"
"110","61389","61389","61389","0.8520343725019983","0.8520343725019983","0.8520343725019983"
"111","61947","61947","61947","0.8517945643485212","0.8517945643485212","0.8517945643485212"
"114","63622","63622","63622","0.8559712230215827","0.8559712230215827","0.8559712230215827"
"115","64180","64180","64180","0.8547801758593124","0.8547801758593124","0.8547801758593124"
"116","64738","64738","64738","0.8568625099920063","0.8568625099920063","0.8568625099920063"
"117","65296","65296","65296","0.8573860911270983","0.8573860911270983","0.8573860911270983"
"120","66970","66970","66970","0.8609792166266986","0.8609792166266986","0.8609792166266986"
"127","70877","70877","70877","0.8685291766586731","0.8685291766586731","0.8685291766586731"
"128","71435","71435","71435","0.8703756994404476","0.8703756994404476","0.8703756994404476"
"132","73668","73668","73668","0.8741127098321343","0.8741127098321343","0.8741127098321343"
"133","74226","74226","74226","0.8750759392486013","0.8750759392486013","0.8750759392486013"
"135","75342","75342","75342","0.8764788169464428","0.8764788169464428","0.8764788169464428"
"136","75900","75900","75900","0.8774300559552359","0.8774300559552359","0.8774300559552359"
"138","77016","77016","77016","0.8811031175059953","0.8811031175059953","0.8811031175059953"
