"Epoch","fast-tree-19 - _step","fast-tree-19 - _step__MIN","fast-tree-19 - _step__MAX","fast-tree-19 - Train accuracy","fast-tree-19 - Train accuracy__MIN","fast-tree-19 - Train accuracy__MAX"
"205","102929","102929","102929","0.9910399999999999","0.9910399999999999","0.9910399999999999"
"209","104937","104937","104937","0.99206","0.99206","0.99206"
"210","105439","105439","105439","0.9923600000000001","0.9923600000000001","0.9923600000000001"
"211","105941","105941","105941","0.99364","0.99364","0.99364"
"212","106444","106444","106444","0.99372","0.99372","0.99372"
"213","106946","106946","106946","0.9932799999999999","0.9932799999999999","0.9932799999999999"
"215","107950","107950","107950","0.99336","0.99336","0.99336"
"219","109958","109958","109958","0.99538","0.99538","0.99538"
"220","110460","110460","110460","0.9949000000000001","0.9949000000000001","0.9949000000000001"
"221","110962","110962","110962","0.99546","0.99546","0.99546"
"223","111967","111967","111967","0.9962000000000001","0.9962000000000001","0.9962000000000001"
"224","112469","112469","112469","0.99536","0.99536","0.99536"
"225","112971","112971","112971","0.9957800000000001","0.9957800000000001","0.9957800000000001"
"226","113473","113473","113473","0.99598","0.99598","0.99598"
"227","113975","113975","113975","0.9961800000000001","0.9961800000000001","0.9961800000000001"
"229","114979","114979","114979","0.9980600000000001","0.9980600000000001","0.9980600000000001"
"235","117992","117992","117992","0.998","0.998","0.998"
"236","118494","118494","118494","0.99788","0.99788","0.99788"
"239","120000","120000","120000","0.9982000000000001","0.9982000000000001","0.9982000000000001"
"240","120502","120502","120502","0.99848","0.99848","0.99848"
"241","121004","121004","121004","0.9985","0.9985","0.9985"
"242","121507","121507","121507","0.99858","0.99858","0.99858"
"244","122511","122511","122511","0.9986199999999998","0.9986199999999998","0.9986199999999998"
"245","123013","123013","123013","0.99872","0.99872","0.99872"
"246","123515","123515","123515","0.999","0.999","0.999"
"247","124017","124017","124017","0.9993200000000001","0.9993200000000001","0.9993200000000001"
"248","124519","124519","124519","0.99892","0.99892","0.99892"
"249","125021","125021","125021","0.99936","0.99936","0.99936"
"250","125523","125523","125523","0.99916","0.99916","0.99916"
"252","126528","126528","126528","0.9991200000000001","0.9991200000000001","0.9991200000000001"
"253","127030","127030","127030","0.9993200000000001","0.9993200000000001","0.9993200000000001"
"254","127532","127532","127532","0.99946","0.99946","0.99946"
"255","128034","128034","128034","0.9995","0.9995","0.9995"
"256","128536","128536","128536","0.99952","0.99952","0.99952"
"257","129038","129038","129038","0.99946","0.99946","0.99946"
